Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
500_10000,N_N_2,7,5987780,5.000,12412,2,0,0
500_10000,N_N_2,8,5987586,5.000,12276,1,0,0
500_10000,N_N_2,9,6091465,5.017,11952,4,0,0
500_10000,N_N_2,10,6038504,5.001,12020,3,0,0
500_10000,N_N_3,1,6104546,5.000,11837,2,0,0
500_10000,N_N_3,2,6074486,5.000,11321,4,0,0
500_10000,N_N_3,3,6008866,5.001,11930,3,0,0
500_10000,N_N_3,4,5981939,5.001,11990,2,0,0
500_10000,N_N_3,5,6126711,5.000,10370,7,0,0
500_10000,N_N_3,6,6063610,5.069,11855,2,0,0
500_10000,N_N_3,7,6043884,5.000,10848,5,0,0
500_10000,N_N_3,8,5991721,5.000,11162,4,0,0
500_10000,N_N_3,9,6058279,5.000,10793,6,0,0
500_10000,N_N_3,10,5979590,5.000,11249,4,0,0
500_10000,N_N_4,1,5112901,5.000,12155,4,0,0
500_10000,N_N_4,2,5114570,5.000,11971,3,0,0
500_10000,N_N_4,3,5107326,5.001,13241,0,0,0
500_10000,N_N_4,4,5101643,5.000,13062,1,0,0
500_10000,N_N_4,5,5075925,5.000,13344,1,0,0
500_10000,N_N_4,6,5085729,5.000,12714,1,0,0
500_10000,N_N_4,7,5085640,5.000,12762,2,0,0
500_10000,N_N_4,8,5140399,5.001,13044,0,0,0
500_10000,N_N_4,9,5119323,5.012,11806,5,0,0
500_10000,N_N_4,10,5144404,5.000,12277,2,0,0
500_10000,N_N_5,1,75004546,5.016,16804,0,0,0
500_10000,N_N_5,2,74274519,5.000,17063,0,0,0
500_10000,N_N_5,3,72952361,5.001,17030,0,0,0
500_10000,N_N_5,4,74458345,5.000,17305,0,0,0
500_10000,N_N_5,5,73537154,5.000,17391,0,0,0
500_10000,N_N_5,6,73406704,5.001,17364,0,0,0
500_10000,N_N_5,7,72950412,5.000,17270,0,0,0
500_10000,N_N_5,8,74506943,5.000,16960,0,0,0
500_10000,N_N_5,9,73465098,5.000,17096,0,0,0
500_10000,N_N_5,10,73313215,5.000,17278,0,0,0
500_10000,N_U_1,1,8456529,5.000,17448,0,0,0
500_10000,N_U_1,2,8289891,5.000,17520,0,0,0
500_10000,N_U_1,3,8341017,5.000,17537,0,0,0
500_10000,N_U_1,4,8488699,5.000,17034,0,0,0
500_10000,N_U_1,5,8501911,5.000,17183,0,0,0
500_10000,N_U_1,6,8358364,5.000,17594,0,0,0
500_10000,N_U_1,7,8387475,5.000,17622,0,0,0
500_10000,N_U_1,8,8470546,5.000,17210,0,0,0
500_10000,N_U_1,9,8284884,5.000,17384,0,0,0
500_10000,N_U_1,10,8278060,5.000,17562,0,0,0
